"","季度","縣市","地區","品項定位","款式","銷售總金額"
"1","第一季","南投縣","一般縣市","中性","一般款",1185.975
"2","第一季","南投縣","一般縣市","中性","自動扣",698.25
"3","第一季","南投縣","一般縣市","中性","針棒",2716.35
"4","第一季","南投縣","一般縣市","特定性別","一般款",1114.05
"5","第一季","南投縣","一般縣市","特定性別","自動扣",837.9
"6","第一季","南投縣","一般縣市","特定性別","針棒",695.625
"7","第一季","台中市","直轄市","中性","一般款",8847.825
"8","第一季","台中市","直轄市","中性","自動扣",7945.875
"9","第一季","台中市","直轄市","中性","針棒",11283.3
"10","第一季","台中市","直轄市","特定性別","一般款",10446.45
"11","第一季","台中市","直轄市","特定性別","自動扣",6976.074
"12","第一季","台中市","直轄市","特定性別","針棒",9321.375
"13","第一季","台北市","直轄市","中性","一般款",6830.775
"14","第一季","台北市","直轄市","中性","自動扣",1529.724
"15","第一季","台北市","直轄市","中性","針棒",5641.65
"16","第一季","台北市","直轄市","特定性別","一般款",5361.825
"17","第一季","台北市","直轄市","特定性別","自動扣",4183.074
"18","第一季","台北市","直轄市","特定性別","針棒",6260.625
"19","第一季","台南市","直轄市","中性","一般款",5921.475
"20","第一季","台南市","直轄市","中性","自動扣",5144.748
"21","第一季","台南市","直轄市","中性","針棒",4805.85
"22","第一季","台南市","直轄市","特定性別","一般款",7942.725
"23","第一季","台南市","直轄市","特定性別","自動扣",3338.748
"24","第一季","台南市","直轄市","特定性別","針棒",7512.75
"25","第一季","台東縣","一般縣市","中性","一般款",208.95
"26","第一季","台東縣","一般縣市","中性","針棒",1044.75
"27","第一季","台東縣","一般縣市","特定性別","一般款",139.125
"28","第一季","台東縣","一般縣市","特定性別","自動扣",279.3
"29","第一季","台東縣","一般縣市","特定性別","針棒",417.375
"30","第一季","嘉義縣","一般縣市","中性","一般款",835.8
"31","第一季","嘉義縣","一般縣市","中性","自動扣",837.9
"32","第一季","嘉義縣","一般縣市","中性","針棒",1462.65
"33","第一季","嘉義縣","一般縣市","特定性別","一般款",974.4
"34","第一季","嘉義縣","一般縣市","特定性別","自動扣",1396.5
"35","第一季","嘉義縣","一般縣市","特定性別","針棒",1113
"36","第一季","基隆市","一般縣市","中性","一般款",627.375
"37","第一季","基隆市","一般縣市","中性","自動扣",558.6
"38","第一季","基隆市","一般縣市","中性","針棒",1671.6
"39","第一季","基隆市","一般縣市","特定性別","一般款",904.575
"40","第一季","基隆市","一般縣市","特定性別","自動扣",279.3
"41","第一季","基隆市","一般縣市","特定性別","針棒",695.625
"42","第一季","宜蘭縣","一般縣市","中性","一般款",1602.3
"43","第一季","宜蘭縣","一般縣市","中性","自動扣",2164.575
"44","第一季","宜蘭縣","一般縣市","中性","針棒",1462.65
"45","第一季","宜蘭縣","一般縣市","特定性別","一般款",1114.05
"46","第一季","宜蘭縣","一般縣市","特定性別","自動扣",1117.2
"47","第一季","宜蘭縣","一般縣市","特定性別","針棒",1252.125
"48","第一季","屏東縣","一般縣市","中性","一般款",2858.625
"49","第一季","屏東縣","一般縣市","中性","自動扣",837.9
"50","第一季","屏東縣","一般縣市","中性","針棒",3134.25
"51","第一季","屏東縣","一般縣市","特定性別","一般款",1741.95
"52","第一季","屏東縣","一般縣市","特定性別","自動扣",1110.774
"53","第一季","屏東縣","一般縣市","特定性別","針棒",1391.25
"54","第一季","彰化縣","一般縣市","中性","一般款",1811.775
"55","第一季","彰化縣","一般縣市","中性","自動扣",4464.075
"56","第一季","彰化縣","一般縣市","中性","針棒",3134.25
"57","第一季","彰化縣","一般縣市","特定性別","一般款",2088.975
"58","第一季","彰化縣","一般縣市","特定性別","自動扣",1955.1
"59","第一季","彰化縣","一般縣市","特定性別","針棒",4312.875
"60","第一季","新北市","直轄市","中性","一般款",10668.525
"61","第一季","新北市","直轄市","中性","自動扣",6545.973
"62","第一季","新北市","直轄市","中性","針棒",9820.65
"63","第一季","新北市","直轄市","特定性別","一般款",8009.4
"64","第一季","新北市","直轄市","特定性別","自動扣",6131.748
"65","第一季","新北市","直轄市","特定性別","針棒",12938.625
"66","第一季","新竹市","一般縣市","中性","一般款",1393.875
"67","第一季","新竹市","一般縣市","中性","自動扣",558.6
"68","第一季","新竹市","一般縣市","中性","針棒",3134.25
"69","第一季","新竹市","一般縣市","特定性別","一般款",2507.4
"70","第一季","新竹市","一般縣市","特定性別","自動扣",2234.4
"71","第一季","新竹市","一般縣市","特定性別","針棒",1669.5
"72","第一季","新竹縣","一般縣市","中性","一般款",2511.075
"73","第一季","新竹縣","一般縣市","中性","自動扣",628.425
"74","第一季","新竹縣","一般縣市","中性","針棒",2925.3
"75","第一季","新竹縣","一般縣市","特定性別","一般款",2716.35
"76","第一季","新竹縣","一般縣市","特定性別","自動扣",825.048
"77","第一季","新竹縣","一般縣市","特定性別","針棒",2365.125
"78","第一季","桃園市","直轄市","中性","一般款",10249.575
"79","第一季","桃園市","直轄市","中性","自動扣",5162.325
"80","第一季","桃園市","直轄市","中性","針棒",9820.65
"81","第一季","桃園市","直轄市","特定性別","一般款",7382.55
"82","第一季","桃園市","直轄市","特定性別","自動扣",5014.548
"83","第一季","桃園市","直轄市","特定性別","針棒",8625.75
"84","第一季","澎湖縣","一般縣市","中性","一般款",208.95
"85","第一季","澎湖縣","一般縣市","中性","自動扣",628.425
"86","第一季","澎湖縣","一般縣市","中性","針棒",417.9
"87","第一季","澎湖縣","一般縣市","特定性別","針棒",973.875
"88","第一季","花蓮縣","一般縣市","中性","一般款",1533.525
"89","第一季","花蓮縣","一般縣市","中性","自動扣",1187.025
"90","第一季","花蓮縣","一般縣市","中性","針棒",1671.6
"91","第一季","花蓮縣","一般縣市","特定性別","一般款",1462.65
"92","第一季","花蓮縣","一般縣市","特定性別","自動扣",552.174
"93","第一季","花蓮縣","一般縣市","特定性別","針棒",2226
"94","第一季","苗栗縣","一般縣市","中性","一般款",2577.225
"95","第一季","苗栗縣","一般縣市","中性","自動扣",977.55
"96","第一季","苗栗縣","一般縣市","中性","針棒",1880.55
"97","第一季","苗栗縣","一般縣市","特定性別","一般款",2505.825
"98","第一季","苗栗縣","一般縣市","特定性別","自動扣",837.9
"99","第一季","苗栗縣","一般縣市","特定性別","針棒",2365.125
"100","第一季","金門縣","一般縣市","中性","一般款",139.125
"101","第一季","金門縣","一般縣市","中性","針棒",208.95
"102","第一季","金門縣","一般縣市","特定性別","一般款",348.075
"103","第一季","金門縣","一般縣市","特定性別","針棒",139.125
"104","第一季","雲林縣","一般縣市","中性","一般款",1743.525
"105","第一季","雲林縣","一般縣市","中性","針棒",1671.6
"106","第一季","雲林縣","一般縣市","特定性別","一般款",1322.475
"107","第一季","雲林縣","一般縣市","特定性別","自動扣",1396.5
"108","第一季","雲林縣","一般縣市","特定性別","針棒",1530.375
"109","第一季","高雄市","直轄市","中性","一般款",7105.875
"110","第一季","高雄市","直轄市","中性","自動扣",6049.071
"111","第一季","高雄市","直轄市","中性","針棒",7731.15
"112","第一季","高雄市","直轄市","特定性別","一般款",6478.5
"113","第一季","高雄市","直轄市","特定性別","自動扣",6125.322
"114","第一季","高雄市","直轄市","特定性別","針棒",9043.125
"115","第三季","南投縣","一般縣市","中性","一般款",1533
"116","第三季","南投縣","一般縣市","中性","自動扣",1256.85
"117","第三季","南投縣","一般縣市","中性","針棒",1044.75
"118","第三季","南投縣","一般縣市","特定性別","一般款",1113.525
"119","第三季","南投縣","一般縣市","特定性別","自動扣",1117.2
"120","第三季","南投縣","一般縣市","特定性別","針棒",1808.625
"121","第三季","台中市","直轄市","中性","一般款",15677.025
"122","第三季","台中市","直轄市","中性","自動扣",10054.8
"123","第三季","台中市","直轄市","中性","針棒",11910.15
"124","第三季","台中市","直轄市","特定性別","一般款",10725.75
"125","第三季","台中市","直轄市","特定性別","自動扣",7261.8
"126","第三季","台中市","直轄市","特定性別","針棒",10851.75
"127","第三季","台北市","直轄市","中性","一般款",6895.35
"128","第三季","台北市","直轄市","中性","自動扣",4678.275
"129","第三季","台北市","直轄市","中性","針棒",5014.8
"130","第三季","台北市","直轄市","特定性別","一般款",5710.425
"131","第三季","台北市","直轄市","特定性別","自動扣",3351.6
"132","第三季","台北市","直轄市","特定性別","針棒",7234.5
"133","第三季","台南市","直轄市","中性","一般款",8991.15
"134","第三季","台南市","直轄市","中性","自動扣",4119.675
"135","第三季","台南市","直轄市","中性","針棒",6477.45
"136","第三季","台南市","直轄市","特定性別","一般款",3621.45
"137","第三季","台南市","直轄市","特定性別","自動扣",6423.9
"138","第三季","台南市","直轄市","特定性別","針棒",5565
"139","第三季","台東縣","一般縣市","中性","一般款",1185.45
"140","第三季","台東縣","一般縣市","中性","自動扣",279.3
"141","第三季","台東縣","一般縣市","中性","針棒",835.8
"142","第三季","台東縣","一般縣市","特定性別","自動扣",558.6
"143","第三季","台東縣","一般縣市","特定性別","針棒",556.5
"144","第三季","嘉義縣","一般縣市","中性","一般款",1672.125
"145","第三季","嘉義縣","一般縣市","中性","自動扣",907.725
"146","第三季","嘉義縣","一般縣市","中性","針棒",2089.5
"147","第三季","嘉義縣","一般縣市","特定性別","一般款",1323.525
"148","第三季","嘉義縣","一般縣市","特定性別","自動扣",1396.5
"149","第三季","嘉義縣","一般縣市","特定性別","針棒",1391.25
"150","第三季","基隆市","一般縣市","中性","一般款",696.15
"151","第三季","基隆市","一般縣市","中性","自動扣",279.3
"152","第三季","基隆市","一般縣市","中性","針棒",835.8
"153","第三季","基隆市","一般縣市","特定性別","一般款",348.075
"154","第三季","基隆市","一般縣市","特定性別","自動扣",1675.8
"155","第三季","基隆市","一般縣市","特定性別","針棒",139.125
"156","第三季","宜蘭縣","一般縣市","中性","一般款",2511.075
"157","第三季","宜蘭縣","一般縣市","中性","自動扣",907.725
"158","第三季","宜蘭縣","一般縣市","中性","針棒",1671.6
"159","第三季","宜蘭縣","一般縣市","特定性別","一般款",696.15
"160","第三季","宜蘭縣","一般縣市","特定性別","自動扣",558.6
"161","第三季","宜蘭縣","一般縣市","特定性別","針棒",1808.625
"162","第三季","屏東縣","一般縣市","中性","一般款",1463.175
"163","第三季","屏東縣","一般縣市","中性","自動扣",837.9
"164","第三季","屏東縣","一般縣市","中性","針棒",1880.55
"165","第三季","屏東縣","一般縣市","特定性別","一般款",2578.8
"166","第三季","屏東縣","一般縣市","特定性別","自動扣",1675.8
"167","第三季","屏東縣","一般縣市","特定性別","針棒",2086.875
"168","第三季","彰化縣","一般縣市","中性","一般款",2370.375
"169","第三季","彰化縣","一般縣市","中性","自動扣",1396.5
"170","第三季","彰化縣","一般縣市","中性","針棒",1880.55
"171","第三季","彰化縣","一般縣市","特定性別","一般款",2646
"172","第三季","彰化縣","一般縣市","特定性別","自動扣",2513.7
"173","第三季","彰化縣","一般縣市","特定性別","針棒",3060.75
"174","第三季","新北市","直轄市","中性","一般款",13588.575
"175","第三季","新北市","直轄市","中性","自動扣",6214.425
"176","第三季","新北市","直轄市","中性","針棒",10447.5
"177","第三季","新北市","直轄市","特定性別","一般款",8080.8
"178","第三季","新北市","直轄市","特定性別","自動扣",5027.4
"179","第三季","新北市","直轄市","特定性別","針棒",9877.875
"180","第三季","新竹市","一般縣市","中性","一般款",2511.075
"181","第三季","新竹市","一般縣市","中性","自動扣",349.125
"182","第三季","新竹市","一般縣市","中性","針棒",2716.35
"183","第三季","新竹市","一般縣市","特定性別","一般款",2159.325
"184","第三季","新竹市","一般縣市","特定性別","自動扣",837.9
"185","第三季","新竹市","一般縣市","特定性別","針棒",1391.25
"186","第三季","新竹縣","一般縣市","中性","一般款",2020.2
"187","第三季","新竹縣","一般縣市","中性","自動扣",1047.375
"188","第三季","新竹縣","一般縣市","中性","針棒",1253.7
"189","第三季","新竹縣","一般縣市","特定性別","一般款",2856.525
"190","第三季","新竹縣","一般縣市","特定性別","自動扣",1955.1
"191","第三季","新竹縣","一般縣市","特定性別","針棒",1808.625
"192","第三季","桃園市","直轄市","中性","一般款",9756.6
"193","第三季","桃園市","直轄市","中性","自動扣",4538.625
"194","第三季","桃園市","直轄市","中性","針棒",10865.4
"195","第三季","桃園市","直轄市","特定性別","一般款",6683.25
"196","第三季","桃園市","直轄市","特定性別","自動扣",5586
"197","第三季","桃園市","直轄市","特定性別","針棒",7095.375
"198","第三季","澎湖縣","一般縣市","中性","一般款",906.675
"199","第三季","澎湖縣","一般縣市","中性","針棒",417.9
"200","第三季","澎湖縣","一般縣市","特定性別","一般款",557.025
"201","第三季","澎湖縣","一般縣市","特定性別","自動扣",558.6
"202","第三季","澎湖縣","一般縣市","特定性別","針棒",139.125
"203","第三季","花蓮縣","一般縣市","中性","一般款",975.45
"204","第三季","花蓮縣","一般縣市","中性","自動扣",1466.325
"205","第三季","花蓮縣","一般縣市","中性","針棒",1462.65
"206","第三季","花蓮縣","一般縣市","特定性別","一般款",1463.175
"207","第三季","花蓮縣","一般縣市","特定性別","針棒",1669.5
"208","第三季","苗栗縣","一般縣市","中性","一般款",1949.325
"209","第三季","苗栗縣","一般縣市","中性","自動扣",1536.15
"210","第三季","苗栗縣","一般縣市","中性","針棒",2716.35
"211","第三季","苗栗縣","一般縣市","特定性別","一般款",1952.475
"212","第三季","苗栗縣","一般縣市","特定性別","自動扣",1117.2
"213","第三季","苗栗縣","一般縣市","特定性別","針棒",2086.875
"214","第三季","金門縣","一般縣市","中性","一般款",627.375
"215","第三季","金門縣","一般縣市","中性","自動扣",349.125
"216","第三季","金門縣","一般縣市","中性","針棒",417.9
"217","第三季","金門縣","一般縣市","特定性別","一般款",765.975
"218","第三季","金門縣","一般縣市","特定性別","自動扣",558.6
"219","第三季","金門縣","一般縣市","特定性別","針棒",695.625
"220","第三季","雲林縣","一般縣市","中性","一般款",2440.2
"221","第三季","雲林縣","一般縣市","中性","自動扣",1815.45
"222","第三季","雲林縣","一般縣市","中性","針棒",1253.7
"223","第三季","雲林縣","一般縣市","特定性別","一般款",1531.95
"224","第三季","雲林縣","一般縣市","特定性別","自動扣",1675.8
"225","第三季","雲林縣","一般縣市","特定性別","針棒",1530.375
"226","第三季","高雄市","直轄市","中性","一般款",11567.85
"227","第三季","高雄市","直轄市","中性","自動扣",8379
"228","第三季","高雄市","直轄市","中性","針棒",11074.35
"229","第三季","高雄市","直轄市","特定性別","一般款",9126.6
"230","第三季","高雄市","直轄市","特定性別","自動扣",6144.6
"231","第三季","高雄市","直轄市","特定性別","針棒",10434.375
"232","第二季","南投縣","一般縣市","中性","一般款",1323.525
"233","第二季","南投縣","一般縣市","中性","自動扣",628.425
"234","第二季","南投縣","一般縣市","中性","針棒",1253.7
"235","第二季","南投縣","一般縣市","特定性別","一般款",765.975
"236","第二季","南投縣","一般縣市","特定性別","自動扣",558.6
"237","第二季","南投縣","一般縣市","特定性別","針棒",1252.125
"238","第二季","台中市","直轄市","中性","一般款",9894.675
"239","第二季","台中市","直轄市","中性","自動扣",7610.925
